ts(s)	uout	yout	wP	wI	wD	e
          0.239      -0.020297        0.36386       0.099995       0.099899        0.10002      0.0026296
           0.24      -0.020027        0.36528       0.099995       0.099899        0.10002      0.0026629
          0.241      -0.019755        0.36671       0.099995       0.099899        0.10002       0.002696
          0.242      -0.019479        0.36814       0.099995       0.099899        0.10002      0.0027291
          0.243      -0.019199        0.36956       0.099995       0.099899        0.10002      0.0027621
          0.244      -0.018917        0.37098       0.099995       0.099899        0.10002      0.0027951
          0.245      -0.018631        0.37241       0.099995       0.099899        0.10002      0.0028281
          0.246      -0.018341        0.37383       0.099995       0.099899        0.10002      0.0028612
          0.247      -0.018049        0.37525       0.099995       0.099899        0.10002      0.0028942
          0.248      -0.017753        0.37667       0.099995       0.099899        0.10002      0.0029273
          0.249      -0.017454        0.37809       0.099995       0.099899        0.10002      0.0029604
           0.25      -0.017152        0.37951       0.099995       0.099899        0.10002      0.0029935
          0.251      -0.016846        0.38092       0.099995       0.099899        0.10002      0.0030266
          0.252      -0.016537        0.38234       0.099995       0.099899        0.10002      0.0030597
          0.253      -0.016224        0.38375       0.099995       0.099899        0.10002      0.0030926
          0.254      -0.015909        0.38517       0.099995       0.099899        0.10002      0.0031256
          0.255       -0.01559        0.38658       0.099995       0.099899        0.10002      0.0031585
          0.256      -0.015268        0.38799       0.099995       0.099899        0.10002      0.0031913
          0.257      -0.014942        0.38941       0.099995       0.099899        0.10002       0.003224
          0.258      -0.014614        0.39082       0.099995       0.099899        0.10002      0.0032567
          0.259      -0.014282        0.39223       0.099995       0.099899        0.10002      0.0032893
           0.26      -0.013946        0.39364       0.099995       0.099899        0.10002      0.0033219
          0.261      -0.013608        0.39504       0.099995       0.099899        0.10002      0.0033543
          0.262      -0.013266        0.39645       0.099995       0.099899        0.10002      0.0033868
          0.263      -0.012921        0.39786       0.099995       0.099899        0.10002      0.0034191
          0.264      -0.012573        0.39926       0.099995       0.099899        0.10002      0.0034514
          0.265      -0.012222        0.40067       0.099995       0.099899        0.10002      0.0034836
          0.266      -0.011867        0.40207       0.099995       0.099899        0.10002      0.0035158
          0.267       -0.01151        0.40347       0.099995       0.099899        0.10002      0.0035478
          0.268      -0.011149        0.40487       0.099995       0.099899        0.10002      0.0035798
          0.269      -0.010785        0.40628       0.099995       0.099898        0.10002      0.0036117
           0.27      -0.010417        0.40767       0.099995       0.099898        0.10002      0.0036436
          0.271      -0.010047        0.40907       0.099995       0.099898        0.10002      0.0036754
          0.272     -0.0096733        0.41047       0.099995       0.099898        0.10002      0.0037071
